_RAJ2000,_DEJ2000,Type,WISEP,OName,p,SpType,l_W1mag,W1mag,e_W1mag,W2mag,e_W2mag,l_W3mag,W3mag,e_W3mag,l_Jmag,Jmag,l_Hmag,Hmag,l_Ksmag,Ksmag,WISE,2M,Simbad,_RA,_DE
8.5116667,-0.8687222,T,J003402.80-005207.4,ULAS J003402.77-005206.7,p,T8.5,,17.32,0.249,14.465,0.076,>,11.801,,,18.15,,18.49,,18.48,WISE,2M,Simbad,8.51167,-0.86872
12.587625,-33.3747778,T,J005021.03-332229.2,2MASS J00501994-3322402,,T7,,15.506,0.05,13.526,0.036,,11.957,0.236,,15.928,,15.838,,15.241,WISE,2M,Simbad,12.58762,-33.37478
14.7962083,-1.2335,T,J005911.09-011400.6,CFBDS J005910.90-011401.3,p,T8.5,,17.003,0.169,13.668,0.044,,12.355,0.424,,18.06,,18.27,,18.63,WISE,2M,Simbad,14.79621,-1.2335
24.239375,9.5630556,T,J013657.45+093347.0,IPMS J013656.57+093347.3,,T2.5,,11.967,0.025,10.962,0.022,,9.671,0.047,,13.455,,12.771,,12.562,WISE,2M,Simbad,24.23937,9.56306
27.601625,13.9900833,T,J015024.39+135924.3,ULAS J015024.37+135924.0,,T7.5,,17.392,0.265,15.186,0.131,>,12.108,,,17.73,,18.11,,17.84,WISE,2M,Simbad,27.60162,13.99008
27.925875,12.7416111,T,J015142.21+124429.8,SDSS J015141.69+124429.6,p,T1,,14.595,0.039,13.823,0.053,,12.246,0.445,,16.566,,15.603,,15.183,WISE,2M,Simbad,27.92587,12.74161
31.929,0.0158056,T,J020742.96+000056.9,SDSS J020742.48+000056.2,p,T4.5,,16.403,0.097,15.035,0.1,>,12.618,,,16.799,>,16.396,>,15.412,WISE,2M,Simbad,31.929,0.01581
40.8061667,-24.8920833,T,J024313.48-245331.5,2MASSI J0243137-245329,p,T6,,14.68,0.035,12.929,0.03,,11.285,0.131,,15.381,,15.137,,15.216,WISE,2M,Simbad,40.80617,-24.89208
41.95825,-16.5198333,T,J024749.98-163111.4,SDSS J024749.90-163112.6,,T2:,,15.197,0.045,14.197,0.054,,12.679,0.528,,17.186,,16.17,,15.616,WISE,2M,Simbad,41.95825,-16.51983
51.4712917,4.4279444,T,J032553.11+042540.6,SDSS J032553.17+042540.1,,T5.5,,15.893,0.069,13.783,0.045,,12.446,0.443,,16.254,>,16.08,>,16.525,WISE,2M,Simbad,51.47129,4.42794
57.0305833,-60.3763611,T,J034807.34-602234.9,2MASS J03480772-6022270,,T7,,15.019,0.047,12.571,0.027,,11.095,0.141,,15.318,,15.559,,15.602,WISE,2M,Simbad,57.03058,-60.37636
57.768875,48.1795833,T,J035104.53+481046.5,SDSS J035104.37+481046.8,,T1:,,14.57,0.044,13.897,0.051,,12.312,0.349,,16.466,,15.566,,14.996,WISE,2M,Simbad,57.76887,48.17958
61.7872917,15.2487222,T,J040708.95+151455.4,2MASS J04070885+1514565,,T5,,15.475,0.058,13.895,0.052,,12.048,0.343,,16.055,,16.017,,15.922,WISE,2M,Simbad,61.78729,15.24872
63.8383333,-9.5835,T,J041521.20-093500.6,2MASSI J0415195-093506,p,T8,,15.095,0.042,12.24,0.026,,11.038,0.112,,15.695,,15.537,,15.429,WISE,2M,Simbad,63.83833,-9.5835
65.9513333,-4.2340278,T,J042348.32-041402.5,SDSSp J042348.57-041403.5,p,T0,,12.182,0.025,11.569,0.025,,10.535,0.081,,14.465,,13.463,,12.929,WISE,2M,Simbad,65.95133,-4.23403
67.6617083,13.1657778,T,J043038.81+130956.8,CFHT-Hy-20,,T2,,15.602,0.056,14.652,0.085,>,11.837,,,,,,>,16.08,WISE,2M,Simbad,67.66171,13.16578
77.6472917,-42.1358889,T,J051035.35-420809.2,2MASS J05103520-4208140,,T5,,15.604,0.035,13.975,0.032,,11.86,0.117,,16.222,,16.237,,15.996,WISE,2M,Simbad,77.64729,-42.13589
79.0386667,-4.7645556,T,J051609.28-044552.4,2MASS J05160945-0445499,,T5.5,,15.456,0.051,13.602,0.039,,12.651,0.46,,15.984,,15.721,,15.486,WISE,2M,Simbad,79.03867,-4.76456
79.7495417,-28.4778333,T,J051859.89-282840.2,2MASS J05185995-2828372,,T1p,,13.412,0.026,12.822,0.026,,11.73,0.166,,15.978,,14.83,,14.162,WISE,2M,Simbad,79.74954,-28.47783
89.8315833,-14.0812778,T,J055919.58-140452.6,2MASS J05591914-1404488,p,T4.5,,13.388,0.027,11.896,0.023,,10.561,0.074,,13.802,,13.679,,13.577,WISE,2M,Simbad,89.83158,-14.08128
90.5275,40.7324444,T,J060206.60+404356.8,2MASS J06020638+4043588,,T4.5,,15.236,0.057,13.541,0.043,>,12.678,,,15.544,,15.592,,15.166,WISE,2M,Simbad,90.5275,40.73244
110.613625,-5.6749722,T,J072227.27-054029.9,UGPS J072227.51-054031.2,p,T9,,15.147,0.051,12.171,0.026,,10.177,0.059,,16.489,,16.147,,,WISE,2M,Simbad,110.61362,-5.67497
111.8297083,17.1644444,T,J072719.13+170952.0,2MASSI J0727182+171001,p,T7,,15.232,0.048,12.93,0.032,,11.62,0.221,,15.6,,15.756,,15.556,WISE,2M,Simbad,111.82971,17.16444
112.247875,-39.8963056,T,J072859.49-395346.7,2MASS J07290002-3954043,,T8pec,,15.247,0.052,12.947,0.026,,11.339,0.097,,15.92,,15.979,>,15.29,WISE,2M,Simbad,112.24787,-39.89631
114.8434583,66.2506944,T,J073922.43+661502.5,SDSS J073922.26+661503.5,,T1.5:,,15.505,0.048,14.534,0.057,>,12.456,,,16.823,,15.998,,15.831,WISE,2M,Simbad,114.84346,66.25069
115.4540417,23.8566667,T,J074148.97+235124.0,SDSS J074149.15+235127.5,,T5,,15.833,0.065,14.11,0.052,>,12.002,,,16.158,,15.838,>,15.847,WISE,2M,Simbad,115.45404,23.85667
115.5041667,20.9214167,T,J074201.00+205517.1,SDSS J074201.41+205520.5,,T5,,15.533,0.055,13.706,0.044,>,11.982,,,16.193,,15.911,>,15.225,WISE,2M,Simbad,115.50417,20.92142
118.9497083,22.204,T,J075547.93+221214.4,2MASSI J0755480+221218,,T5,,15.432,0.057,13.502,0.038,,12.513,0.471,,15.728,,15.669,,15.753,WISE,2M,Simbad,118.94971,22.204
119.6673333,32.7891667,T,J075840.16+324721.0,SDSS J075840.33+324723.4,,T2,,13.11,0.027,12.169,0.026,,10.673,0.093,,14.947,,14.111,,13.879,WISE,2M,Simbad,119.66733,32.78917
124.3739167,-61.9178056,T,J081729.74-615504.1,DENIS J081730.0-615520,p,T6,,12.971,0.021,11.237,0.017,,9.612,0.031,,13.613,,13.526,,13.52,WISE,2M,Simbad,124.37392,-61.91781
127.70375,1.4741389,T,J083048.90+012826.9,SDSS J083048.80+012831.1,,T4.5,,15.753,0.062,14.045,0.051,,12.583,0.504,,16.289,,16.14,>,16.358,WISE,2M,Simbad,127.70375,1.47414
129.3215833,-0.0058889,T,J083717.18-000021.2,SDSSp J083717.22-000018.3,,T1,,15.393,0.047,14.678,0.071,>,12.77,,,17.101,,15.988,>,15.674,WISE,2M,Simbad,129.32158,-0.00589
134.6419167,32.9411667,T,J085834.06+325628.2,SDSS J085834.42+325627.7,,T1,,14.046,0.032,13.463,0.041,,12.264,0.338,,16.453,,15.382,,14.756,WISE,2M,Simbad,134.64192,32.94117
134.79425,10.1705,T,J085910.62+101013.8,ULAS J085910.69+101017.1,,T7,,17.33,0.252,15.408,0.165,>,12.442,,,17.88,,18.58,,18.26,WISE,2M,Simbad,134.79425,10.1705
137.2520417,65.4240278,T,J090900.49+652526.5,SDSS J090900.73+652527.2,,T1.5,,14.47,0.044,13.424,0.05,,,,,16.034,,15.214,,15.171,WISE,2M,Simbad,137.25204,65.42403
140.0501667,35.2944722,T,J092012.04+351740.1,2MASSW J0920122+351742,,T0p,,13.279,0.029,12.791,0.029,,12.461,0.443,,15.625,,14.673,,13.979,WISE,2M,Simbad,140.05017,35.29447
141.564125,58.7885556,T,J092615.39+584718.8,SDSSp J092615.38+584720.9,,T4.5,,15.237,0.039,13.656,0.035,,12.732,0.431,,15.897,,15.307,,15.45,WISE,2M,Simbad,141.56412,58.78856
141.603125,7.1939722,T,J092624.75+071138.3,ULAS J092624.76+071140.7,,T3.5,,16.95,0.16,15.014,0.104,>,12.683,,,17.48,,17.41,,17.88,WISE,2M,Simbad,141.60312,7.19397
144.398375,29.5243611,T,J093735.61+293127.7,2MASSI J0937347+293142,p,T6p,,14.074,0.03,11.652,0.023,,10.686,0.089,,14.648,,14.703,,15.267,WISE,2M,Simbad,144.39837,29.52436
147.2857083,-15.7634722,T,J094908.57-154548.5,2MASS J09490860-1545485,,T2,,14.881,0.043,14.004,0.068,,12.516,0.529,,16.149,,15.262,,15.227,WISE,2M,Simbad,147.28571,-15.76347
151.88725,-45.92025,T,J100732.94-455512.9,2MASS J10073369-4555147,,T5,,15.633,0.061,13.806,0.042,,12.66,0.45,,15.653,,15.686,,15.56,WISE,2M,Simbad,151.88725,-45.92025
155.289875,-3.0726389,T,J102109.57-030421.5,SDSS J102109.69-030420.1,p,T3,,14.814,0.037,13.773,0.041,,12.249,0.324,,16.253,,15.346,,15.126,WISE,2M,Simbad,155.28987,-3.07264
159.8805833,32.9401944,T,J103931.34+325624.7,SDSS J103931.35+325625.5,,T1,,14.279,0.032,13.427,0.037,,11.946,0.283,,16.405,,15.335,,15.151,WISE,2M,Simbad,159.88058,32.94019
162.1211667,9.3276111,T,J104829.08+091939.4,SDSS J104829.21+091937.8,,T2.5,,15.303,0.047,14.276,0.06,,12.543,0.503,,16.594,,15.898,>,16.365,WISE,2M,Simbad,162.12117,9.32761
163.056375,44.3818333,T,J105213.53+442254.6,SDSS J105213.51+442255.7,,T0.5:,,13.7,0.028,13.092,0.029,,12.484,0.325,,15.958,,15.161,,14.568,WISE,2M,Simbad,163.05637,44.38183
164.965125,30.6997222,T,J105951.63+304159.0,2MASS J10595185+3042059,,T4,,15.805,0.064,14.237,0.058,,12.36,0.426,,16.195,,15.766,,15.56,WISE,2M,Simbad,164.96512,30.69972
166.5488333,27.9048611,T,J110611.72+275417.5,2MASS J11061197+2754225,,T2.5,,13.181,0.028,12.333,0.027,,11.551,0.174,,14.824,,14.15,,13.801,WISE,2M,Simbad,166.54883,27.90486
167.5410833,1.2690833,T,J111009.86+011608.7,SDSSp J111010.01+011613.1,,T5.5,,15.586,0.055,13.989,0.048,,11.891,0.253,,16.343,,15.924,>,15.129,WISE,2M,Simbad,167.54108,1.26908
168.7033333,-26.3078333,T,J111448.80-261828.2,2MASS J11145133-2618235,,T7.5,,15.346,0.048,12.235,0.025,,11.171,0.134,,15.858,,15.734,>,16.109,WISE,2M,Simbad,168.70333,-26.30783
170.5339167,-35.2110278,T,J112208.14-351239.7,2MASS J11220826-3512363,,T2,,13.926,0.03,12.766,0.028,,11.716,0.195,,15.019,,14.358,,14.383,WISE,2M,Simbad,170.53392,-35.21103
178.3467917,-1.8077778,T,J115323.23-014828.0,ULAS J115338.74-014724.1,,T6,,16.903,0.158,15.129,0.115,,12.607,0.541,,17.59,,17.97,,17.83,WISE,2M,Simbad,178.34679,-1.80778
179.2523333,6.1842222,T,J115700.56+061103.2,SDSS J115700.50+061105.2,,T1.5,,15.373,0.051,14.519,0.069,>,12.312,,,16.926,,16.038,>,15.251,WISE,2M,Simbad,179.25233,6.18422
180.7375833,9.0328056,T,J120257.02+090158.1,ULAS J120257.05+090158.8,,T5,,16.844,0.141,14.905,0.088,>,12.041,,,16.71,,16.91,,16.94,WISE,2M,Simbad,180.73758,9.03281
181.5105833,28.2245,T,J120602.54+281328.2,SDSS J120602.51+281328.7,,T3,,15.246,0.049,13.971,0.049,>,12.08,,,16.541,,15.815,>,15.817,WISE,2M,Simbad,181.51058,28.2245
181.945125,2.7406389,T,J120746.83+024426.3,SDSS J120747.17+024424.8,,T0,,13.414,0.028,12.779,0.03,,11.549,0.21,,15.58,,14.561,,13.986,WISE,2M,Simbad,181.94512,2.74064
182.4847083,-10.0682778,T,J120956.33-100405.8,2MASS J12095613-1004008,,T3,,14.636,0.037,13.492,0.04,,11.759,0.249,,15.914,,15.329,,15.062,WISE,2M,Simbad,182.48471,-10.06828
183.6714167,63.2787778,T,J121441.14+631643.6,SDSS J121440.95+631643.4,,T3.5:,,14.921,0.035,13.742,0.035,,12.173,0.221,,16.586,,15.779,,15.877,WISE,2M,Simbad,183.67142,63.27878
183.9338333,-34.3510833,T,J121544.12-342103.9,2MASS J12154432-3420591,,T4.5,,16.014,0.077,14.378,0.064,>,12.327,,,16.236,,15.809,>,16.317,WISE,2M,Simbad,183.93383,-34.35108
184.2929167,-3.187,T,J121710.30-031113.2,2MASSI J1217110-031113,p,T7.5,,15.383,0.05,13.195,0.035,,11.588,0.205,,15.86,,15.748,>,15.887,WISE,2M,Simbad,184.29292,-3.187
186.4777917,-27.665,T,J122554.67-273954.0,2MASS J12255432-2739466,p,T6,,14.658,0.037,12.692,0.03,,11.161,0.131,,15.26,,15.098,,15.073,WISE,2M,Simbad,186.47779,-27.665
187.9447083,8.7895278,T,J123146.73+084722.3,2MASS J12314753+0847331,,T5.5,,15.023,0.049,13.022,0.038,,11.679,0.274,,15.57,,15.309,,15.22,WISE,2M,Simbad,187.94471,8.78953
189.4057917,65.4356111,T,J123737.39+652608.2,2MASS J12373919+6526148,p,T6.5,,15.427,0.046,12.922,0.028,,11.935,0.212,,16.053,,15.739,>,16.058,WISE,2M,Simbad,189.40579,65.43561
189.6182083,9.8979167,T,J123828.37+095352.5,ULAS J123828.51+095351.3,,T8,>,17.806,,15.205,0.127,>,12.453,,,18.95,,19.2,,,WISE,2M,Simbad,189.61821,9.89792
192.5483333,39.4299444,T,J125011.60+392547.8,SDSS J125011.65+392553.9,,T4,,15.868,0.061,14.477,0.06,>,12.404,,,16.54,,16.183,,16.057,WISE,2M,Simbad,192.54833,39.42994
193.7232083,-1.3793889,T,J125453.57-012245.8,SDSSp J125453.90-012247.4,,T2,,13.328,0.029,12.399,0.026,,10.886,0.111,,14.891,,14.09,,13.837,WISE,2M,Simbad,193.72321,-1.37939
195.1735417,12.3540556,T,J130041.65+122114.6,Ross 458C,,T8,,16.121,0.096,13.706,0.042,,11.654,0.2,,16.69,,17.01,,16.9,WISE,2M,Simbad,195.17354,12.35406
195.5712083,13.1474167,T,J130217.09+130850.7,ULAS J130217.21+130851.2,,T8,,17.942,0.383,14.903,0.091,>,11.958,,,18.11,,18.6,,18.28,WISE,2M,Simbad,195.57121,13.14742
201.145625,63.9743056,T,J132434.95+635827.5,2MASS J13243559+6358284,,T2:pec,,13.15,0.025,12.284,0.023,,10.791,0.064,,15.596,,14.576,,14.058,WISE,2M,Simbad,201.14562,63.97431
203.9725417,11.5013056,T,J133553.41+113004.7,ULAS J133553.45+113005.2,p,T8.5,,16.885,0.153,13.839,0.046,,12.209,0.354,,17.9,,18.25,,18.28,WISE,2M,Simbad,203.97254,11.50131
206.6920417,-0.5309444,T,J134646.09-003151.4,SDSSp J134646.45-003150.4,p,T6.5,,15.41,0.054,13.558,0.042,,11.992,0.322,,16.0,,15.459,,15.772,WISE,2M,Simbad,206.69204,-0.53094
209.7195417,37.78575,T,J135852.69+374708.7,SDSS J135852.68+374711.9,,T4.5:,,16.122,0.08,14.122,0.052,,12.373,0.373,,16.46,,16.142,>,16.099,WISE,2M,Simbad,209.71954,37.78575
210.7319167,8.0149722,T,J140255.66+080053.9,SDSS J140255.66+080055.2,,T1.5,,14.927,0.041,14.197,0.06,>,12.57,,,16.839,,15.966,,15.594,WISE,2M,Simbad,210.73192,8.01497
211.2072083,-31.9925,T,J140449.73-315933.0,2MASS J14044941-3159329,,T2.5,,13.819,0.03,12.908,0.032,,11.636,0.193,,15.577,,14.955,,14.538,WISE,2M,Simbad,211.20721,-31.9925
213.8754167,57.40725,T,J141530.10+572426.1,SDSS J141530.05+572428.7,,T3:,,14.83,0.033,13.925,0.037,,12.386,0.268,,16.734,>,15.821,>,15.544,WISE,2M,Simbad,213.87542,57.40725
217.4619583,33.5031944,T,J142950.87+333011.5,IRAC J142950.8+333011,,T4.5,,16.541,0.109,14.981,0.096,>,12.039,,>,16.88,,,>,16.99,WISE,2M,Simbad,217.46196,33.50319
218.9720417,11.4970278,T,J143553.29+112949.3,SDSS J143553.25+112948.6,,T2:,,15.26,0.047,14.168,0.058,>,12.09,,,17.137,>,16.15,>,16.906,WISE,2M,Simbad,218.97204,11.49703
219.940625,30.7053333,T,J143945.75+304219.2,SDSS J143945.86+304220.6,,T2.5,,15.751,0.061,14.723,0.079,>,12.466,,,17.223,>,16.28,>,15.881,WISE,2M,Simbad,219.94062,30.70533
224.316,-21.36875,T,J145715.84-212207.5,Gliese 570D,p,T7.5,,14.959,0.063,12.106,0.029,,10.687,0.119,,15.324,,15.268,,15.242,WISE,2M,Simbad,224.316,-21.36875
224.6222917,10.2282778,T,J145829.35+101341.8,CFBDSIR J145829+101343,,T9,>,17.883,,15.488,0.147,>,12.421,,,19.66,,20.12,,20.6,WISE,2M,Simbad,224.62229,10.22828
225.8320833,25.4237222,T,J150319.70+252525.4,2MASS J15031961+2525196,,T5,,13.455,0.034,11.685,0.027,,10.766,0.116,,13.937,,13.856,,13.963,WISE,2M,Simbad,225.83208,25.42372
226.0492083,10.4548333,T,J150411.81+102717.4,SDSS J150411.63+102718.4,,T7,,16.303,0.093,14.116,0.051,,12.132,0.331,,17.032,>,16.909,>,17.023,WISE,2M,Simbad,226.04921,10.45483
227.810375,6.1280278,T,J151114.49+060740.9,SDSS J151114.66+060742.9,,T0::,,13.676,0.028,13.154,0.033,,12.542,0.492,,16.016,,14.955,,14.544,WISE,2M,Simbad,227.81037,6.12803
229.0125417,2.991,T,J151603.01+025927.6,SDSS J151603.03+025928.9,,T0:,,14.648,0.041,14.025,0.063,,,,,17.23,,15.997,,15.433,WISE,2M,Simbad,229.01254,2.991
229.1790833,30.8956389,T,J151642.98+305344.3,SDSS J151643.01+305344.4,,T0.5:,,14.12,0.031,13.317,0.034,,12.078,0.264,,16.848,,15.868,,15.081,WISE,2M,Simbad,229.17908,30.89564
230.16675,35.7714444,T,J152040.02+354617.2,SDSS J152039.82+354619.8,,T0:,,13.44,0.028,12.888,0.029,,11.863,0.215,,15.54,,14.579,,14.0,WISE,2M,Simbad,230.16675,35.77144
230.2630833,1.5289167,T,J152103.14+013144.1,SDSS J152103.24+013142.7,,T2:,,14.921,0.034,13.946,0.043,,12.177,0.266,,16.399,,15.576,,15.347,WISE,2M,Simbad,230.26308,1.52892
233.5709583,16.2630556,T,J153417.03+161547.0,SDSS J153417.05+161546.1AB,,T3.5,,15.439,0.042,14.408,0.051,>,12.517,,,16.753,,16.078,>,16.411,WISE,2M,Simbad,233.57096,16.26306
233.70825,-29.8752222,T,J153449.98-295230.8,2MASSI J1534498-295227,p,T5.5,,13.939,0.032,12.562,0.029,,11.585,0.226,,14.9,,14.866,,14.843,WISE,2M,Simbad,233.70825,-29.87522
236.5617917,49.5346389,T,J154614.83+493204.7,2MASS J15461461+4932114,,T2.5:,,14.489,0.031,13.446,0.031,,12.076,0.22,,15.902,,15.135,>,14.9,WISE,2M,Simbad,236.56179,49.53464
236.61375,-33.4188889,T,J154627.30-332508.0,2MASSI J1546291-332511,p,T5.5,,15.238,0.07,13.434,0.044,>,12.306,,,15.631,,15.446,,15.485,WISE,2M,Simbad,236.61375,-33.41889
238.2580833,15.5440556,T,J155301.94+153238.6,2MASSI J1553022+153236,,T7,,15.284,0.047,13.023,0.032,,12.023,0.288,,15.825,,15.939,,15.507,WISE,2M,Simbad,238.25808,15.54406
243.7681667,13.6678333,T,J161504.36+134004.2,2MASS J16150413+1340079,,T6,,16.077,0.073,14.109,0.049,,12.633,0.456,,16.35,,16.489,>,15.859,WISE,2M,Simbad,243.76817,13.66783
246.0587083,0.4877778,T,J162414.09+002916.0,SDSSp J162414.37+002915.6,p,T6,,15.075,0.043,13.073,0.032,,12.012,0.291,,15.494,,15.524,>,15.518,WISE,2M,Simbad,246.05871,0.48778
247.1624583,23.1383611,T,J162838.99+230818.1,SDSS J162838.77+230821.1,,T7,,16.156,0.071,13.923,0.042,,11.878,0.234,,16.458,,16.107,,15.872,WISE,2M,Simbad,247.16246,23.13836
247.5955,8.3055,T,J163022.92+081819.8,SDSS J163022.92+081822.0,,T5.5,,16.151,0.083,14.348,0.062,>,12.21,,,16.396,,16.332,>,16.611,WISE,2M,Simbad,247.5955,8.3055
248.16375,41.8341389,T,J163239.30+415002.9,SDSS J163239.34+415004.3,,T1:,,16.094,0.065,15.283,0.092,>,12.713,,,17.078,,16.114,>,15.748,WISE,2M,Simbad,248.16375,41.83414
267.5992083,42.3775,T,J175023.81+422239.0,SDSS J175024.01+422237.8,,T2,,14.784,0.033,13.967,0.039,,12.998,0.488,,16.467,,15.415,,15.482,WISE,2M,Simbad,267.59921,42.3775
267.6377917,17.9848611,T,J175033.07+175905.5,SDSSp J175032.96+175903.9,p,T3.5,,15.826,0.068,14.424,0.059,>,12.742,,,16.34,,15.952,,15.478,WISE,2M,Simbad,267.63779,17.98486
269.52275,46.5548611,T,J175805.46+463317.5,SDSS J175805.46+463311.9,,T6.5,,15.662,0.041,13.79,0.031,,12.543,0.282,,16.152,,16.254,,15.465,WISE,2M,Simbad,269.52275,46.55486
277.149875,-48.8175,T,J182835.97-484903.0,2MASS J18283572-4849046,,T5.5,,14.518,0.043,12.71,0.029,,11.455,0.181,,15.175,,14.908,,15.181,WISE,2M,Simbad,277.14987,-48.8175
285.27575,47.3051111,T,J190106.18+471818.4,2MASS J19010601+4718136,,T5,,15.301,0.042,13.579,0.032,,12.462,0.258,,15.856,,15.468,,15.641,WISE,2M,Simbad,285.27575,47.30511
313.1477083,-16.1579722,T,J205235.45-160928.7,SDSS J205235.31-160929.8,,T1:,,14.22,0.032,13.547,0.041,>,12.366,,,16.334,,15.414,,15.123,WISE,2M,Simbad,313.14771,-16.15797
321.0583333,1.0007222,T,J212414.00+010002.6,SDSS J212413.89+010000.3,,T5,,15.607,0.05,14.142,0.049,>,12.493,,,16.031,,16.183,>,16.144,WISE,2M,Simbad,321.05833,1.00072
324.862875,2.3399167,T,J213927.09+022023.7,2MASS J21392676+0220226,,T1.5,,12.746,0.026,11.936,0.025,,10.49,0.08,,15.264,,14.165,,13.582,WISE,2M,Simbad,324.86287,2.33992
326.119875,14.7683889,T,J214428.77+144606.2,HN Peg B,p,T2.5,,13.291,0.029,12.574,0.029,,11.67,0.179,,15.86,,15.4,,15.12,WISE,2M,Simbad,326.11987,14.76839
327.9119167,-48.8989444,T,J215138.86-485356.2,2MASS J21513839-4853542,,T4,,14.945,0.041,13.63,0.041,,12.203,0.338,,15.73,,15.168,,15.431,WISE,2M,Simbad,327.91192,-48.89894
328.63725,59.7038056,T,J215432.94+594213.7,2MASS J21543318+5942187,,T5,,15.732,0.074,13.599,0.035,>,13.013,,,15.661,,15.765,>,15.338,WISE,2M,Simbad,328.63725,59.70381
331.06525,-56.7898611,T,J220415.66-564723.5,eps Indi Bab,,T2.5,,10.633,0.022,9.443,0.02,,8.347,0.022,,12.29,,11.51,,11.35,WISE,2M,Simbad,331.06525,-56.78986
337.1208333,-43.1748333,T,J222829.00-431029.4,2MASS J22282889-4310262,,T6,,15.183,0.044,13.286,0.033,,11.631,0.184,,15.662,,15.363,,15.296,WISE,2M,Simbad,337.12083,-43.17483
343.5790417,31.3978333,T,J225418.97+312352.2,2MASSI J2254188+312349,,T4,,14.627,0.035,13.246,0.031,,11.995,0.237,,15.262,,15.018,,14.902,WISE,2M,Simbad,343.57904,31.39783
346.504125,13.0403333,T,J230600.99+130225.2,ULAS J230601.02+130225.0,,T6.5,>,17.793,,15.001,0.09,>,12.801,,,17.57,,18.0,,18.03,WISE,2M,Simbad,346.50412,13.04033
348.9903333,13.3821111,T,J231557.68+132255.6,ULAS J231557.61+132256.2,,T6.5,,17.951,0.369,15.414,0.134,>,12.458,,,17.71,,18.16,,18.14,WISE,2M,Simbad,348.99033,13.38211
350.1473333,14.8083889,T,J232035.36+144830.2,ULAS J232035.28+144829.8,,T5,,16.609,0.111,14.302,0.056,>,12.633,,,16.79,,17.14,,17.4,WISE,2M,Simbad,350.14733,14.80839
350.3492917,13.9148611,T,J232123.83+135453.5,ULAS J232123.79+135454.9,,T7.5,,17.186,0.202,14.06,0.053,>,12.394,,,16.72,,17.15,,17.16,WISE,2M,Simbad,350.34929,13.91486
352.0088333,13.7625556,T,J232802.12+134545.2,ULAS J232802.03+134544.8,,T7,,18.194,0.522,15.111,0.111,>,12.617,,,17.75,,18.17,,18.29,WISE,2M,Simbad,352.00883,13.76256
