t1_index,t1_ra,t1_dec,coadd_object_id,dec,i_z,ra,dist_arcsec
WISEPC J003402.80-005207.4,8.511666666666665,-0.8687222222222223,1079600269,-0.869407,0.337675,8.512211,3.149025213273261
WISEPC J005911.09-011400.6,14.79620833333333,-1.2335,1125059577,-1.233612,76.32854,14.797096,3.220201373632284
WISEPC J020742.96+000056.9,31.929,0.0158055555555555,1243184175,0.015553,3.597654,31.929255,1.2920404703055994
WISEPC J024313.48-245331.5,40.80616666666666,-24.89208333333333,1328079736,-24.892615,3.731367,40.805595,2.673646208637165
WISEPA J024749.98-163111.4,41.95824999999999,-16.51983333333333,1338013577,-16.519609,2.490999,41.958976,2.6326466685418626
WISEPC J034807.34-602234.9,57.030583333333325,-60.37636111111111,1413738236,-60.377196,3.013458,57.029973,3.1958042469525947
WISEPA J051035.35-420809.2,77.64729166666666,-42.135888888888886,1616348580,-42.136459,0.277235,77.647073,2.133801746895141
WISEPA J051859.89-282840.2,79.74954166666666,-28.477833333333333,1548372626,-28.478406,2.172749,79.749451,2.0814680507215657
WISEPC J212414.00+010002.6,321.0583333333333,1.0007222222222223,920214585,1.001027,3.422348,321.05854,1.3255998437094125
WISEPC J215138.86-485356.2,327.9119166666666,-48.898944444444446,939274390,-48.899375,3.457054,327.912844,2.6867917644956933
WISEPC J220415.66-564723.5,331.06524999999993,-56.78986111111111,949223699,-56.790869,0.067909,331.065384,3.6380069734678
WISEPC J222829.00-431029.4,337.1208333333332,-43.17483333333333,963738348,-43.175621,3.405272,337.121173,2.9725134017276553
WISEPC J233123.87-471828.0,352.8494583333333,-47.30777777777777,1010573384,-47.307961,3.710339,352.849637,0.7907460052106127
WISEPC J014435.67-071616.3,26.148625,-7.271194444444444,1311177877,-7.271539,1.736433,26.149271,2.6192301166173086
WISEPC J020333.45-010813.4,30.88937499999999,-1.1370555555555557,1232403235,-1.136876,2.308615,30.89004,2.4792765944375827
WISEPC J020529.69-115929.1,31.373708333333333,-11.991416666666666,1235441902,-11.991378,2.05356,31.374359,2.2955104750752753
WISEPC J021828.98-313324.1,34.620749999999994,-31.55669444444445,1262804856,-31.557026,1.559893,34.620489,1.4372634903715522
WISEPC J021928.20-193842.7,34.86749999999999,-19.64519444444445,1264959153,-19.645502,1.52282,34.867952,1.8906076160570993
WISEPC J022710.62-162450.7,36.79425,-16.41408333333333,1281177576,-16.414574,1.286764,36.795046,3.2674321339851065
WISEPA J023547.53-084919.7,38.94804166666667,-8.822138888888889,1297580757,-8.822138,1.492136,38.948067,0.09017782523743927
WISEPA J023618.01+004852.8,39.07504166666666,0.8146666666666668,1314021044,0.814444,1.909534,39.075329,1.3085601538679796
WISEPA J023942.48-173548.3,39.92699999999999,-17.59675,1322610269,-17.59692,1.562107,39.927177,0.8622406870099607
WISEPA J024153.91-124107.5,40.474625,-12.685416666666669,1321660078,-12.685519,1.475595,40.475265,2.2777496633338923
WISEPA J025601.91+011046.3,44.007958333333335,1.179527777777778,1352749879,1.179247,1.49856,44.00818,1.2877308952288418
WISEPA J030909.04-194939.0,47.28766666666666,-19.8275,1370545113,-19.827574,1.704807,47.28813,1.591571028907831
WISEPA J031013.90-275645.8,47.55791666666666,-27.94605555555556,1372937518,-27.946178,1.742699,47.557726,0.7496497039020397
WISEPA J031645.21-284852.8,49.18837499999999,-28.814666666666668,1451040687,-28.814925,1.607378,49.188623,1.2152463453520819
WISEPA J031854.37-342128.7,49.72654166666666,-34.35797222222222,1453145623,-34.357943,2.045349,49.727481,2.7935864290143404
WISEPA J033703.73-175806.6,54.26554166666666,-17.9685,1402941039,-17.968303,1.680477,54.265994,1.7036128050933546
WISEPA J035822.59-411605.0,59.594125,-41.26805555555556,1433109514,-41.267926,1.818645,59.59436,0.7885898692860683
WISEPA J210754.20-454406.2,316.9758333333333,-45.735055555555554,907296338,-45.735244,1.504171,316.976105,0.9623915353772496
WISEPC J220645.11-421723.1,331.6879583333333,-42.28975,949346519,-42.290019,1.512758,331.688257,1.2531665755438859
WISEPC J224316.94-593223.0,340.8205833333333,-59.53972222222222,974495633,-59.540195,1.563745,340.820546,1.7033631500245778
WISEPC J002127.85-635108.6,5.366041666666666,-63.85238888888889,1058504408,-63.852525,1.244317,5.366428,0.7846978918130181
WISEPC J012821.03+021116.5,22.087625,2.1879166666666663,1176907582,2.187665,-0.730614,22.088432,3.0411713166865346
WISEPA J021816.35-274049.1,34.568124999999995,-27.68030555555556,1260911690,-27.680755,0.323422,34.567811,1.9026244929857692
WISEPA J024840.95-165124.8,42.170625,-16.85688888888889,1335577745,-16.857497,-1.284772,42.170661,2.1927107349312447
WISEPA J025226.18+005621.5,43.10908333333333,0.9393055555555556,1342107801,0.939091,0.680791,43.108813,1.2423628822349915
WISEPA J033935.48-352541.0,54.89783333333333,-35.42805555555555,1405578587,-35.42757,1.19745,54.898613,2.8786075577384658
WISEPA J211832.15-450557.1,319.6339583333333,-45.09919444444445,914699116,-45.100045,1.510525,319.634859,3.822844984049409
WISEPC J212726.25-421519.7,321.85937499999994,-42.255472222222224,922331856,-42.255761,1.192822,321.859605,1.20679261657836
WISEPC J213008.67-444632.2,322.5361249999999,-44.77561111111111,922941728,-44.776458,1.45289,322.536249,3.0652237858086284
J013525.37+020518.4,23.85570833333333,2.0884444444444448,1187392425,2.087649,2.266893,23.855918,2.9612787234790905
J024610.23+015644.4,41.542625,1.9456666666666669,1331423423,1.94553,2.348776,41.542774,0.7276381767969676
J033915.57-114645.0,54.814875,-11.779166666666663,1401586216,-11.779292,1.508327,54.81501,0.655693752499351
J034011.81-211013.2,55.049208333333326,-21.170333333333332,1452522417,-21.170584,3.192989,55.049742,2.0059750273269836
J044633.45-242956.8,71.639375,-24.499111111111112,1504878361,-24.498521,1.661457,71.639071,2.3462383497924404
J055319.77-242638.0,88.33237499999998,-24.44388888888889,1586606438,-24.44394,1.601589,88.332354,0.19645026213817
J235932.81-015154.1,359.88670833333333,-1.865027777777778,1031856400,-1.865285,2.414679,359.886774,0.9556682265917852

